ep:5, reward:25.6, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:10, reward:16.8, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:15, reward:16.0, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:20, reward:16.2, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:25, reward:26.4, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:30, reward:25.6, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:35, reward:17.8, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:40, reward:23.8, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:45, reward:32.8, epsilon:94.45, lr:0.0120, loss:46.6008, val_loss:114.4937
ep:50, reward:17.8, epsilon:93.90, lr:0.0120, loss:61.1268, val_loss:49.3216
ep:55, reward:25.0, epsilon:93.35, lr:0.0120, loss:66.9926, val_loss:46.8589
ep:60, reward:27.2, epsilon:92.80, lr:0.0120, loss:62.4757, val_loss:75.1200
ep:65, reward:20.4, epsilon:92.25, lr:0.0120, loss:67.4038, val_loss:89.3209
ep:70, reward:21.0, epsilon:91.70, lr:0.0119, loss:87.6880, val_loss:57.3534
ep:75, reward:14.6, epsilon:91.15, lr:0.0118, loss:79.8982, val_loss:58.5001
ep:80, reward:16.6, epsilon:90.60, lr:0.0117, loss:69.1874, val_loss:98.1095
ep:85, reward:21.6, epsilon:90.05, lr:0.0116, loss:68.5187, val_loss:72.7893
ep:90, reward:24.6, epsilon:89.50, lr:0.0115, loss:87.8544, val_loss:143.9294
ep:95, reward:28.8, epsilon:88.95, lr:0.0114, loss:75.2198, val_loss:108.3245
ep:100, reward:19.4, epsilon:88.40, lr:0.0113, loss:83.6830, val_loss:134.3293
ep:105, reward:16.2, epsilon:87.85, lr:0.0112, loss:95.7027, val_loss:141.1838
ep:110, reward:17.2, epsilon:87.30, lr:0.0111, loss:79.8037, val_loss:125.1250
ep:115, reward:29.2, epsilon:86.75, lr:0.0110, loss:93.5776, val_loss:91.4643
ep:120, reward:21.4, epsilon:86.20, lr:0.0109, loss:100.3850, val_loss:55.5702
ep:125, reward:24.8, epsilon:85.65, lr:0.0108, loss:89.0128, val_loss:107.4739
ep:130, reward:22.4, epsilon:85.10, lr:0.0107, loss:73.0902, val_loss:65.2383
ep:135, reward:19.2, epsilon:84.55, lr:0.0106, loss:76.5579, val_loss:94.3296
