ep:5, reward:24.2, epsilon:100.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:10, reward:18.6, epsilon:100.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:15, reward:38.6, epsilon:100.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:20, reward:22.0, epsilon:98.50, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:25, reward:25.2, epsilon:97.00, lr:0.0120, loss:51.0672, val_loss:62.2371
ep:30, reward:26.4, epsilon:95.48, lr:0.0120, loss:47.8957, val_loss:41.6770
ep:35, reward:18.0, epsilon:93.97, lr:0.0120, loss:40.3938, val_loss:39.8803
ep:40, reward:28.0, epsilon:92.45, lr:0.0120, loss:48.5125, val_loss:60.0986
ep:45, reward:24.4, epsilon:90.92, lr:0.0120, loss:29.1779, val_loss:42.1260
ep:50, reward:22.6, epsilon:89.39, lr:0.0120, loss:40.2804, val_loss:90.2689
ep:55, reward:30.6, epsilon:87.86, lr:0.0120, loss:44.5574, val_loss:2.2426
ep:60, reward:21.2, epsilon:86.32, lr:0.0120, loss:44.1746, val_loss:19.8441
ep:65, reward:19.4, epsilon:84.77, lr:0.0120, loss:49.6402, val_loss:64.1923
ep:70, reward:35.4, epsilon:83.22, lr:0.0118, loss:34.5016, val_loss:38.3614
ep:75, reward:17.6, epsilon:81.67, lr:0.0116, loss:41.3278, val_loss:44.1763
ep:80, reward:25.8, epsilon:80.11, lr:0.0114, loss:59.9183, val_loss:17.4985
ep:85, reward:19.6, epsilon:78.55, lr:0.0112, loss:34.9894, val_loss:5.4365
ep:90, reward:22.0, epsilon:76.98, lr:0.0110, loss:42.8472, val_loss:68.9120
ep:95, reward:40.8, epsilon:75.40, lr:0.0108, loss:38.8560, val_loss:29.8202
ep:100, reward:24.6, epsilon:73.82, lr:0.0106, loss:33.6731, val_loss:28.4456
ep:105, reward:28.0, epsilon:72.24, lr:0.0104, loss:45.7773, val_loss:43.5628
ep:110, reward:29.4, epsilon:70.65, lr:0.0102, loss:47.0085, val_loss:3.3248
ep:115, reward:26.8, epsilon:69.05, lr:0.0100, loss:44.1728, val_loss:19.2232
ep:120, reward:45.8, epsilon:67.45, lr:0.0098, loss:31.8036, val_loss:38.9609
ep:125, reward:45.0, epsilon:65.85, lr:0.0096, loss:42.2604, val_loss:33.0363
ep:130, reward:34.8, epsilon:64.24, lr:0.0094, loss:33.6464, val_loss:44.2142
ep:135, reward:22.8, epsilon:62.62, lr:0.0092, loss:40.0542, val_loss:21.5015
ep:140, reward:53.8, epsilon:61.00, lr:0.0090, loss:27.2084, val_loss:31.6781
ep:145, reward:23.2, epsilon:59.38, lr:0.0088, loss:31.2720, val_loss:53.6115
ep:150, reward:48.2, epsilon:57.75, lr:0.0086, loss:28.4517, val_loss:21.8906
ep:155, reward:38.2, epsilon:56.11, lr:0.0084, loss:29.8171, val_loss:52.6042
ep:160, reward:22.0, epsilon:54.47, lr:0.0082, loss:20.1244, val_loss:1.5091
ep:165, reward:67.2, epsilon:52.83, lr:0.0080, loss:18.8568, val_loss:24.8739
ep:170, reward:71.0, epsilon:51.18, lr:0.0078, loss:25.6633, val_loss:1.6320
ep:175, reward:48.2, epsilon:49.52, lr:0.0076, loss:29.7775, val_loss:1.9751
ep:180, reward:26.6, epsilon:47.86, lr:0.0074, loss:16.2184, val_loss:29.1692
ep:185, reward:159.4, epsilon:46.20, lr:0.0072, loss:14.5669, val_loss:1.9783
ep:190, reward:57.6, epsilon:44.53, lr:0.0070, loss:6.4088, val_loss:19.7699
ep:195, reward:98.6, epsilon:42.85, lr:0.0068, loss:12.4514, val_loss:18.4767
ep:200, reward:115.2, epsilon:41.17, lr:0.0066, loss:7.8599, val_loss:0.8609
ep:205, reward:178.4, epsilon:39.49, lr:0.0064, loss:11.5799, val_loss:0.9834
ep:210, reward:190.6, epsilon:37.80, lr:0.0062, loss:5.9972, val_loss:0.6641
ep:215, reward:202.0, epsilon:36.10, lr:0.0060, loss:8.5585, val_loss:1.6055
ep:220, reward:180.2, epsilon:34.40, lr:0.0058, loss:6.5560, val_loss:23.2798
ep:225, reward:212.4, epsilon:32.70, lr:0.0056, loss:0.5038, val_loss:0.6086
ep:230, reward:109.6, epsilon:30.99, lr:0.0054, loss:3.1975, val_loss:8.7426
ep:235, reward:260.8, epsilon:29.27, lr:0.0052, loss:5.8163, val_loss:0.5104
ep:240, reward:131.8, epsilon:27.55, lr:0.0050, loss:5.6701, val_loss:22.7892
ep:245, reward:303.6, epsilon:25.83, lr:0.0048, loss:4.7100, val_loss:0.5876
ep:250, reward:247.4, epsilon:24.10, lr:0.0046, loss:7.1381, val_loss:0.5085
ep:255, reward:92.4, epsilon:22.36, lr:0.0044, loss:5.6501, val_loss:0.5485
ep:260, reward:200.8, epsilon:20.62, lr:0.0042, loss:5.1127, val_loss:0.3997
ep:265, reward:108.8, epsilon:18.88, lr:0.0040, loss:9.8998, val_loss:18.4216
ep:270, reward:144.8, epsilon:17.13, lr:0.0038, loss:8.0671, val_loss:0.3590
ep:275, reward:131.4, epsilon:15.37, lr:0.0036, loss:7.7597, val_loss:0.6359
ep:280, reward:282.4, epsilon:13.61, lr:0.0034, loss:9.5689, val_loss:19.4013
ep:285, reward:216.8, epsilon:11.85, lr:0.0032, loss:6.2446, val_loss:0.9269
ep:290, reward:311.8, epsilon:10.08, lr:0.0030, loss:0.9249, val_loss:0.3582
ep:295, reward:257.2, epsilon:8.30, lr:0.0028, loss:4.8880, val_loss:1.1264
ep:300, reward:315.4, epsilon:6.52, lr:0.0026, loss:9.0343, val_loss:1.1524
